target,buying,maint,doors,persons,lug_boot,safety
unacc_0,0,0,0,0,0,0
unacc_1,0,0,0,0,0,1
unacc_2,0,0,0,0,0,2
unacc_3,0,0,0,0,1,0
unacc_4,0,0,0,0,1,1
unacc_5,0,0,0,0,1,2
unacc_6,0,0,0,0,2,0
unacc_7,0,0,0,0,2,1
unacc_8,0,0,0,0,2,2
unacc_9,0,0,0,1,0,0
unacc_10,0,0,0,1,0,1
unacc_11,0,0,0,1,0,2
unacc_12,0,0,0,1,1,0
unacc_13,0,0,0,1,1,1
unacc_14,0,0,0,1,1,2
unacc_15,0,0,0,1,2,0
unacc_16,0,0,0,1,2,1
unacc_17,0,0,0,1,2,2
unacc_18,0,0,0,2,0,0
unacc_19,0,0,0,2,0,1
unacc_20,0,0,0,2,0,2
unacc_21,0,0,0,2,1,0
unacc_22,0,0,0,2,1,1
unacc_23,0,0,0,2,1,2
unacc_24,0,0,0,2,2,0
unacc_25,0,0,0,2,2,1
unacc_26,0,0,0,2,2,2
unacc_27,0,0,1,0,0,0
unacc_28,0,0,1,0,0,1
unacc_29,0,0,1,0,0,2
unacc_30,0,0,1,0,1,0
unacc_31,0,0,1,0,1,1
unacc_32,0,0,1,0,1,2
unacc_33,0,0,1,0,2,0
unacc_34,0,0,1,0,2,1
unacc_35,0,0,1,0,2,2
unacc_36,0,0,1,1,0,0
unacc_37,0,0,1,1,0,1
unacc_38,0,0,1,1,0,2
unacc_39,0,0,1,1,1,0
unacc_40,0,0,1,1,1,1
unacc_41,0,0,1,1,1,2
unacc_42,0,0,1,1,2,0
unacc_43,0,0,1,1,2,1
unacc_44,0,0,1,1,2,2
unacc_45,0,0,1,2,0,0
unacc_46,0,0,1,2,0,1
unacc_47,0,0,1,2,0,2
unacc_48,0,0,1,2,1,0
unacc_49,0,0,1,2,1,1
unacc_50,0,0,1,2,1,2
unacc_51,0,0,1,2,2,0
unacc_52,0,0,1,2,2,1
unacc_53,0,0,1,2,2,2
unacc_54,0,0,2,0,0,0
unacc_55,0,0,2,0,0,1
unacc_56,0,0,2,0,0,2
unacc_57,0,0,2,0,1,0
unacc_58,0,0,2,0,1,1
unacc_59,0,0,2,0,1,2
unacc_60,0,0,2,0,2,0
unacc_61,0,0,2,0,2,1
unacc_62,0,0,2,0,2,2
unacc_63,0,0,2,1,0,0
unacc_64,0,0,2,1,0,1
unacc_65,0,0,2,1,0,2
unacc_66,0,0,2,1,1,0
unacc_67,0,0,2,1,1,1
unacc_68,0,0,2,1,1,2
unacc_69,0,0,2,1,2,0
unacc_70,0,0,2,1,2,1
unacc_71,0,0,2,1,2,2
unacc_72,0,0,2,2,0,0
unacc_73,0,0,2,2,0,1
unacc_74,0,0,2,2,0,2
unacc_75,0,0,2,2,1,0
unacc_76,0,0,2,2,1,1
unacc_77,0,0,2,2,1,2
unacc_78,0,0,2,2,2,0
unacc_79,0,0,2,2,2,1
unacc_80,0,0,2,2,2,2
unacc_81,0,0,3,0,0,0
unacc_82,0,0,3,0,0,1
unacc_83,0,0,3,0,0,2
