target,wk_col,wk_row,wr_col,wr_row,bk_col,bk_row
draw_0,0,0,0,0,0,0
draw_1,0,0,1,1,0,0
draw_2,0,0,1,1,1,1
draw_3,0,0,1,1,1,0
draw_4,0,0,1,2,0,1
draw_5,0,0,1,2,0,2
draw_6,0,0,1,2,1,1
draw_7,0,0,1,2,1,0
draw_8,0,0,1,2,1,2
draw_9,0,0,1,0,0,0
draw_10,0,0,1,0,1,0
draw_11,0,0,1,0,1,2
draw_12,0,0,1,0,1,3
draw_13,0,0,1,3,1,2
draw_14,0,0,2,1,0,1
draw_15,0,0,2,1,0,0
draw_16,0,0,2,1,1,0
draw_17,0,0,2,1,2,1
draw_18,0,0,2,1,2,0
draw_19,0,0,2,2,0,1
draw_20,0,0,2,2,0,0
draw_21,0,0,2,2,0,2
draw_22,0,0,2,2,1,1
draw_23,0,0,2,2,1,2
draw_24,0,0,2,2,2,1
draw_25,0,0,2,2,2,0
draw_26,0,0,2,2,2,2
draw_27,0,0,2,0,0,0
draw_28,0,0,2,0,0,2
draw_29,0,0,2,0,1,0
draw_30,0,0,2,0,1,3
draw_31,0,0,2,0,2,0
draw_32,0,0,2,0,2,2
draw_33,0,0,2,0,2,3
draw_34,0,0,2,3,0,2
draw_35,0,0,2,3,1,2
draw_36,0,0,2,3,2,2
draw_37,0,0,2,3,2,3
draw_38,0,0,2,3,2,4
draw_39,0,0,2,4,2,3
draw_40,0,0,3,1,1,1
draw_41,0,0,3,1,1,0
draw_42,0,0,3,1,2,0
draw_43,0,0,3,1,3,1
draw_44,0,0,3,1,3,0
draw_45,0,0,3,2,1,1
draw_46,0,0,3,2,1,0
draw_47,0,0,3,2,1,2
draw_48,0,0,3,2,2,1
draw_49,0,0,3,2,2,2
draw_50,0,0,3,2,3,1
draw_51,0,0,3,2,3,0
draw_52,0,0,3,2,3,2
draw_53,0,0,3,0,1,0
draw_54,0,0,3,0,1,2
draw_55,0,0,3,0,1,3
draw_56,0,0,3,0,2,0
draw_57,0,0,3,0,2,3
draw_58,0,0,3,0,3,0
draw_59,0,0,3,0,3,2
draw_60,0,0,3,0,3,3
draw_61,0,0,3,3,1,2
draw_62,0,0,3,3,1,3
draw_63,0,0,3,3,2,2
draw_64,0,0,3,3,2,4
draw_65,0,0,3,3,3,2
draw_66,0,0,3,3,3,3
draw_67,0,0,3,3,3,4
draw_68,0,0,3,4,1,3
draw_69,0,0,3,4,2,3
draw_70,0,0,3,4,3,3
draw_71,0,0,3,4,3,4
draw_72,0,0,3,4,3,5
draw_73,0,0,3,5,3,4
draw_74,0,0,4,1,2,1
draw_75,0,0,4,1,2,0
draw_76,0,0,4,1,3,0
draw_77,0,0,4,1,4,1
draw_78,0,0,4,1,4,0
draw_79,0,0,4,2,2,1
draw_80,0,0,4,2,2,0
draw_81,0,0,4,2,2,2
draw_82,0,0,4,2,3,1
draw_83,0,0,4,2,3,2
draw_84,0,0,4,2,4,1
draw_85,0,0,4,2,4,0
draw_86,0,0,4,2,4,2
draw_87,0,0,4,0,2,0
draw_88,0,0,4,0,2,2
draw_89,0,0,4,0,2,3
draw_90,0,0,4,0,3,0
draw_91,0,0,4,0,3,3
draw_92,0,0,4,0,4,0
draw_93,0,0,4,0,4,2
draw_94,0,0,4,0,4,3
draw_95,0,0,4,3,2,2
draw_96,0,0,4,3,2,3
draw_97,0,0,4,3,2,4
draw_98,0,0,4,3,3,2
draw_99,0,0,4,3,3,4
draw_100,0,0,4,3,4,2
draw_101,0,0,4,3,4,3
draw_102,0,0,4,3,4,4
draw_103,0,0,4,4,2,3
draw_104,0,0,4,4,2,4
draw_105,0,0,4,4,3,3
draw_106,0,0,4,4,3,5
draw_107,0,0,4,4,4,3
draw_108,0,0,4,4,4,4
draw_109,0,0,4,4,4,5
draw_110,0,0,4,5,2,4
draw_111,0,0,4,5,3,4
draw_112,0,0,4,5,4,4
draw_113,0,0,4,5,4,5
draw_114,0,0,4,5,4,6
draw_115,0,0,4,6,4,5
draw_116,0,0,5,1,3,1
draw_117,0,0,5,1,3,0
draw_118,0,0,5,1,4,0
draw_119,0,0,5,1,5,1
draw_120,0,0,5,1,5,0
draw_121,0,0,5,2,3,1
draw_122,0,0,5,2,3,0
draw_123,0,0,5,2,3,2
draw_124,0,0,5,2,4,1
draw_125,0,0,5,2,4,2
draw_126,0,0,5,2,5,1
draw_127,0,0,5,2,5,0
draw_128,0,0,5,2,5,2
draw_129,0,0,5,0,3,0
draw_130,0,0,5,0,3,2
draw_131,0,0,5,0,3,3
draw_132,0,0,5,0,4,0
draw_133,0,0,5,0,4,3
draw_134,0,0,5,0,5,0
draw_135,0,0,5,0,5,2
draw_136,0,0,5,0,5,3
draw_137,0,0,5,3,3,2
draw_138,0,0,5,3,3,3
