target,handicapped-infants,water-project,budget-resolution,physician-fee,el-salvador-aid,religious-groups,anti-satellite,nicaraguan-contras,mx-missile,immigration,synfuels-cutback,education-spending,superfund-right-to-sue,crime,duty-free,south-africa
republican_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
republican_1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
democrat_2,1,0,1,1,0,0,0,0,0,1,2,1,0,0,0,2
democrat_3,0,0,1,2,1,0,0,0,0,1,2,1,0,1,0,0
democrat_4,2,0,1,2,0,0,0,0,0,1,2,2,0,0,1,0
democrat_5,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
democrat_6,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
republican_7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0
republican_8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
democrat_9,2,0,1,2,2,1,1,1,1,1,1,1,2,1,2,1
republican_10,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2
republican_11,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,1
democrat_12,0,0,1,2,2,1,1,1,1,1,1,1,0,1,2,1
democrat_13,2,0,1,2,2,0,1,1,2,0,2,2,2,1,1,1
republican_14,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1
republican_15,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
democrat_16,2,1,1,2,2,0,0,1,2,0,2,0,1,1,0,0
democrat_17,2,2,1,2,2,1,1,1,1,1,1,1,0,1,1,0
republican_18,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2
democrat_19,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,0
democrat_20,2,0,1,2,2,2,1,1,0,1,2,1,2,1,1,0
democrat_21,2,0,1,2,2,1,1,1,1,1,1,1,1,2,1,0
democrat_22,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,0
democrat_23,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,0
democrat_24,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1
democrat_25,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0
democrat_26,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,0
republican_27,2,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
republican_28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
democrat_29,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,1
democrat_30,2,0,1,2,2,1,1,1,1,0,1,1,0,1,1,0
republican_31,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
republican_32,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
republican_33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
democrat_34,2,1,1,2,2,1,1,1,1,0,2,1,0,1,1,0
democrat_35,2,0,1,2,2,1,1,1,1,1,0,1,2,1,0,1
democrat_36,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,1
