target,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
e_2,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2
p_3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e_4,0,0,3,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1
e_5,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
e_6,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2
e_7,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2
p_8,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1
e_9,1,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2
e_10,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1
e_11,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2
e_12,1,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1
p_13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
e_14,0,2,0,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,2,1
e_15,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
e_16,3,2,2,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1
p_17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
p_18,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
p_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
e_20,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2
p_21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1
e_22,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2
e_23,1,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2
e_24,1,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2
p_25,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1
e_26,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2
e_27,0,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2
e_28,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
e_29,0,0,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,3,3
e_30,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2
p_31,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
e_32,0,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2
e_33,0,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0,1,4,4
e_34,1,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2
e_35,0,2,1,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3
e_36,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
p_37,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
e_38,0,2,1,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3
e_39,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
e_40,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
e_41,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,4,4
e_42,0,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0
p_43,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1
e_44,0,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,2
e_45,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
e_46,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
e_47,0,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2
e_48,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,0,4
e_49,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,4
e_50,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,1
e_51,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
e_52,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
p_53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
p_54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
e_55,1,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2
e_56,3,2,3,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1
e_57,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,1
e_58,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
e_59,0,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,4,4
e_60,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
e_61,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2
e_62,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2
e_63,1,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2
e_64,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
e_65,3,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1
e_66,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
e_67,3,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,0,1
e_68,0,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1
e_69,0,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0
e_70,3,2,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3
e_71,1,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2
e_72,3,2,1,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3
e_73,0,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,4
e_74,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
e_75,3,0,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3
e_76,0,0,2,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,3,3
e_77,3,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0,1,4,4
p_78,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0
e_79,3,1,0,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,4,1
e_80,0,0,0,1,3,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1
p_81,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
e_82,3,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0
e_83,0,2,3,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
e_84,0,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,1
