target,parents,has_nurs,form,children,housing,finance,social,health
recommend_0,0,0,0,0,0,0,0,0
priority_1,0,0,0,0,0,0,0,1
not_recom_2,0,0,0,0,0,0,0,2
recommend_3,0,0,0,0,0,0,1,0
priority_4,0,0,0,0,0,0,1,1
not_recom_5,0,0,0,0,0,0,1,2
priority_6,0,0,0,0,0,0,2,0
priority_7,0,0,0,0,0,0,2,1
not_recom_8,0,0,0,0,0,0,2,2
very_recom_9,0,0,0,0,0,1,0,0
priority_10,0,0,0,0,0,1,0,1
not_recom_11,0,0,0,0,0,1,0,2
very_recom_12,0,0,0,0,0,1,1,0
priority_13,0,0,0,0,0,1,1,1
not_recom_14,0,0,0,0,0,1,1,2
priority_15,0,0,0,0,0,1,2,0
priority_16,0,0,0,0,0,1,2,1
not_recom_17,0,0,0,0,0,1,2,2
very_recom_18,0,0,0,0,1,0,0,0
priority_19,0,0,0,0,1,0,0,1
not_recom_20,0,0,0,0,1,0,0,2
very_recom_21,0,0,0,0,1,0,1,0
priority_22,0,0,0,0,1,0,1,1
not_recom_23,0,0,0,0,1,0,1,2
priority_24,0,0,0,0,1,0,2,0
priority_25,0,0,0,0,1,0,2,1
not_recom_26,0,0,0,0,1,0,2,2
very_recom_27,0,0,0,0,1,1,0,0
priority_28,0,0,0,0,1,1,0,1
not_recom_29,0,0,0,0,1,1,0,2
very_recom_30,0,0,0,0,1,1,1,0
priority_31,0,0,0,0,1,1,1,1
not_recom_32,0,0,0,0,1,1,1,2
priority_33,0,0,0,0,1,1,2,0
priority_34,0,0,0,0,1,1,2,1
not_recom_35,0,0,0,0,1,1,2,2
very_recom_36,0,0,0,0,2,0,0,0
priority_37,0,0,0,0,2,0,0,1
not_recom_38,0,0,0,0,2,0,0,2
very_recom_39,0,0,0,0,2,0,1,0
priority_40,0,0,0,0,2,0,1,1
not_recom_41,0,0,0,0,2,0,1,2
priority_42,0,0,0,0,2,0,2,0
priority_43,0,0,0,0,2,0,2,1
not_recom_44,0,0,0,0,2,0,2,2
very_recom_45,0,0,0,0,2,1,0,0
priority_46,0,0,0,0,2,1,0,1
not_recom_47,0,0,0,0,2,1,0,2
very_recom_48,0,0,0,0,2,1,1,0
priority_49,0,0,0,0,2,1,1,1
not_recom_50,0,0,0,0,2,1,1,2
priority_51,0,0,0,0,2,1,2,0
priority_52,0,0,0,0,2,1,2,1
not_recom_53,0,0,0,0,2,1,2,2
very_recom_54,0,0,0,1,0,0,0,0
priority_55,0,0,0,1,0,0,0,1
not_recom_56,0,0,0,1,0,0,0,2
very_recom_57,0,0,0,1,0,0,1,0
priority_58,0,0,0,1,0,0,1,1
not_recom_59,0,0,0,1,0,0,1,2
priority_60,0,0,0,1,0,0,2,0
priority_61,0,0,0,1,0,0,2,1
not_recom_62,0,0,0,1,0,0,2,2
very_recom_63,0,0,0,1,0,1,0,0
priority_64,0,0,0,1,0,1,0,1
not_recom_65,0,0,0,1,0,1,0,2
very_recom_66,0,0,0,1,0,1,1,0
priority_67,0,0,0,1,0,1,1,1
not_recom_68,0,0,0,1,0,1,1,2
priority_69,0,0,0,1,0,1,2,0
priority_70,0,0,0,1,0,1,2,1
not_recom_71,0,0,0,1,0,1,2,2
very_recom_72,0,0,0,1,1,0,0,0
priority_73,0,0,0,1,1,0,0,1
not_recom_74,0,0,0,1,1,0,0,2
very_recom_75,0,0,0,1,1,0,1,0
priority_76,0,0,0,1,1,0,1,1
not_recom_77,0,0,0,1,1,0,1,2
priority_78,0,0,0,1,1,0,2,0
priority_79,0,0,0,1,1,0,2,1
not_recom_80,0,0,0,1,1,0,2,2
very_recom_81,0,0,0,1,1,1,0,0
priority_82,0,0,0,1,1,1,0,1
not_recom_83,0,0,0,1,1,1,0,2
very_recom_84,0,0,0,1,1,1,1,0
priority_85,0,0,0,1,1,1,1,1
not_recom_86,0,0,0,1,1,1,1,2
priority_87,0,0,0,1,1,1,2,0
priority_88,0,0,0,1,1,1,2,1
not_recom_89,0,0,0,1,1,1,2,2
priority_90,0,0,0,1,2,0,0,0
priority_91,0,0,0,1,2,0,0,1
not_recom_92,0,0,0,1,2,0,0,2
priority_93,0,0,0,1,2,0,1,0
priority_94,0,0,0,1,2,0,1,1
not_recom_95,0,0,0,1,2,0,1,2
priority_96,0,0,0,1,2,0,2,0
priority_97,0,0,0,1,2,0,2,1
not_recom_98,0,0,0,1,2,0,2,2
priority_99,0,0,0,1,2,1,0,0
priority_100,0,0,0,1,2,1,0,1
not_recom_101,0,0,0,1,2,1,0,2
priority_102,0,0,0,1,2,1,1,0
priority_103,0,0,0,1,2,1,1,1
not_recom_104,0,0,0,1,2,1,1,2
priority_105,0,0,0,1,2,1,2,0
priority_106,0,0,0,1,2,1,2,1
not_recom_107,0,0,0,1,2,1,2,2
very_recom_108,0,0,0,2,0,0,0,0
priority_109,0,0,0,2,0,0,0,1
not_recom_110,0,0,0,2,0,0,0,2
very_recom_111,0,0,0,2,0,0,1,0
priority_112,0,0,0,2,0,0,1,1
not_recom_113,0,0,0,2,0,0,1,2
priority_114,0,0,0,2,0,0,2,0
priority_115,0,0,0,2,0,0,2,1
not_recom_116,0,0,0,2,0,0,2,2
priority_117,0,0,0,2,0,1,0,0
priority_118,0,0,0,2,0,1,0,1
not_recom_119,0,0,0,2,0,1,0,2
priority_120,0,0,0,2,0,1,1,0
priority_121,0,0,0,2,0,1,1,1
not_recom_122,0,0,0,2,0,1,1,2
priority_123,0,0,0,2,0,1,2,0
priority_124,0,0,0,2,0,1,2,1
not_recom_125,0,0,0,2,0,1,2,2
priority_126,0,0,0,2,1,0,0,0
priority_127,0,0,0,2,1,0,0,1
not_recom_128,0,0,0,2,1,0,0,2
priority_129,0,0,0,2,1,0,1,0
priority_130,0,0,0,2,1,0,1,1
not_recom_131,0,0,0,2,1,0,1,2
priority_132,0,0,0,2,1,0,2,0
priority_133,0,0,0,2,1,0,2,1
not_recom_134,0,0,0,2,1,0,2,2
priority_135,0,0,0,2,1,1,0,0
priority_136,0,0,0,2,1,1,0,1
not_recom_137,0,0,0,2,1,1,0,2
priority_138,0,0,0,2,1,1,1,0
priority_139,0,0,0,2,1,1,1,1
not_recom_140,0,0,0,2,1,1,1,2
priority_141,0,0,0,2,1,1,2,0
priority_142,0,0,0,2,1,1,2,1
not_recom_143,0,0,0,2,1,1,2,2
priority_144,0,0,0,2,2,0,0,0
priority_145,0,0,0,2,2,0,0,1
not_recom_146,0,0,0,2,2,0,0,2
priority_147,0,0,0,2,2,0,1,0
priority_148,0,0,0,2,2,0,1,1
not_recom_149,0,0,0,2,2,0,1,2
priority_150,0,0,0,2,2,0,2,0
priority_151,0,0,0,2,2,0,2,1
not_recom_152,0,0,0,2,2,0,2,2
priority_153,0,0,0,2,2,1,0,0
priority_154,0,0,0,2,2,1,0,1
not_recom_155,0,0,0,2,2,1,0,2
priority_156,0,0,0,2,2,1,1,0
priority_157,0,0,0,2,2,1,1,1
not_recom_158,0,0,0,2,2,1,1,2
priority_159,0,0,0,2,2,1,2,0
priority_160,0,0,0,2,2,1,2,1
not_recom_161,0,0,0,2,2,1,2,2
very_recom_162,0,0,0,3,0,0,0,0
priority_163,0,0,0,3,0,0,0,1
not_recom_164,0,0,0,3,0,0,0,2
very_recom_165,0,0,0,3,0,0,1,0
priority_166,0,0,0,3,0,0,1,1
not_recom_167,0,0,0,3,0,0,1,2
priority_168,0,0,0,3,0,0,2,0
priority_169,0,0,0,3,0,0,2,1
not_recom_170,0,0,0,3,0,0,2,2
priority_171,0,0,0,3,0,1,0,0
priority_172,0,0,0,3,0,1,0,1
not_recom_173,0,0,0,3,0,1,0,2
priority_174,0,0,0,3,0,1,1,0
priority_175,0,0,0,3,0,1,1,1
not_recom_176,0,0,0,3,0,1,1,2
priority_177,0,0,0,3,0,1,2,0
priority_178,0,0,0,3,0,1,2,1
not_recom_179,0,0,0,3,0,1,2,2
priority_180,0,0,0,3,1,0,0,0
priority_181,0,0,0,3,1,0,0,1
not_recom_182,0,0,0,3,1,0,0,2
priority_183,0,0,0,3,1,0,1,0
priority_184,0,0,0,3,1,0,1,1
not_recom_185,0,0,0,3,1,0,1,2
priority_186,0,0,0,3,1,0,2,0
priority_187,0,0,0,3,1,0,2,1
not_recom_188,0,0,0,3,1,0,2,2
priority_189,0,0,0,3,1,1,0,0
priority_190,0,0,0,3,1,1,0,1
not_recom_191,0,0,0,3,1,1,0,2
priority_192,0,0,0,3,1,1,1,0
priority_193,0,0,0,3,1,1,1,1
not_recom_194,0,0,0,3,1,1,1,2
priority_195,0,0,0,3,1,1,2,0
priority_196,0,0,0,3,1,1,2,1
not_recom_197,0,0,0,3,1,1,2,2
priority_198,0,0,0,3,2,0,0,0
priority_199,0,0,0,3,2,0,0,1
not_recom_200,0,0,0,3,2,0,0,2
priority_201,0,0,0,3,2,0,1,0
priority_202,0,0,0,3,2,0,1,1
not_recom_203,0,0,0,3,2,0,1,2
priority_204,0,0,0,3,2,0,2,0
priority_205,0,0,0,3,2,0,2,1
not_recom_206,0,0,0,3,2,0,2,2
priority_207,0,0,0,3,2,1,0,0
priority_208,0,0,0,3,2,1,0,1
not_recom_209,0,0,0,3,2,1,0,2
priority_210,0,0,0,3,2,1,1,0
priority_211,0,0,0,3,2,1,1,1
not_recom_212,0,0,0,3,2,1,1,2
priority_213,0,0,0,3,2,1,2,0
priority_214,0,0,0,3,2,1,2,1
not_recom_215,0,0,0,3,2,1,2,2
very_recom_216,0,0,1,0,0,0,0,0
priority_217,0,0,1,0,0,0,0,1
not_recom_218,0,0,1,0,0,0,0,2
very_recom_219,0,0,1,0,0,0,1,0
priority_220,0,0,1,0,0,0,1,1
not_recom_221,0,0,1,0,0,0,1,2
priority_222,0,0,1,0,0,0,2,0
priority_223,0,0,1,0,0,0,2,1
not_recom_224,0,0,1,0,0,0,2,2
very_recom_225,0,0,1,0,0,1,0,0
priority_226,0,0,1,0,0,1,0,1
not_recom_227,0,0,1,0,0,1,0,2
very_recom_228,0,0,1,0,0,1,1,0
priority_229,0,0,1,0,0,1,1,1
not_recom_230,0,0,1,0,0,1,1,2
priority_231,0,0,1,0,0,1,2,0
priority_232,0,0,1,0,0,1,2,1
not_recom_233,0,0,1,0,0,1,2,2
very_recom_234,0,0,1,0,1,0,0,0
priority_235,0,0,1,0,1,0,0,1
not_recom_236,0,0,1,0,1,0,0,2
very_recom_237,0,0,1,0,1,0,1,0
priority_238,0,0,1,0,1,0,1,1
not_recom_239,0,0,1,0,1,0,1,2
priority_240,0,0,1,0,1,0,2,0
priority_241,0,0,1,0,1,0,2,1
not_recom_242,0,0,1,0,1,0,2,2
very_recom_243,0,0,1,0,1,1,0,0
priority_244,0,0,1,0,1,1,0,1
not_recom_245,0,0,1,0,1,1,0,2
very_recom_246,0,0,1,0,1,1,1,0
priority_247,0,0,1,0,1,1,1,1
not_recom_248,0,0,1,0,1,1,1,2
priority_249,0,0,1,0,1,1,2,0
priority_250,0,0,1,0,1,1,2,1
not_recom_251,0,0,1,0,1,1,2,2
priority_252,0,0,1,0,2,0,0,0
priority_253,0,0,1,0,2,0,0,1
not_recom_254,0,0,1,0,2,0,0,2
priority_255,0,0,1,0,2,0,1,0
priority_256,0,0,1,0,2,0,1,1
not_recom_257,0,0,1,0,2,0,1,2
priority_258,0,0,1,0,2,0,2,0
priority_259,0,0,1,0,2,0,2,1
not_recom_260,0,0,1,0,2,0,2,2
priority_261,0,0,1,0,2,1,0,0
priority_262,0,0,1,0,2,1,0,1
not_recom_263,0,0,1,0,2,1,0,2
priority_264,0,0,1,0,2,1,1,0
priority_265,0,0,1,0,2,1,1,1
not_recom_266,0,0,1,0,2,1,1,2
priority_267,0,0,1,0,2,1,2,0
priority_268,0,0,1,0,2,1,2,1
not_recom_269,0,0,1,0,2,1,2,2
very_recom_270,0,0,1,1,0,0,0,0
priority_271,0,0,1,1,0,0,0,1
not_recom_272,0,0,1,1,0,0,0,2
very_recom_273,0,0,1,1,0,0,1,0
priority_274,0,0,1,1,0,0,1,1
not_recom_275,0,0,1,1,0,0,1,2
priority_276,0,0,1,1,0,0,2,0
priority_277,0,0,1,1,0,0,2,1
not_recom_278,0,0,1,1,0,0,2,2
very_recom_279,0,0,1,1,0,1,0,0
priority_280,0,0,1,1,0,1,0,1
not_recom_281,0,0,1,1,0,1,0,2
very_recom_282,0,0,1,1,0,1,1,0
priority_283,0,0,1,1,0,1,1,1
not_recom_284,0,0,1,1,0,1,1,2
priority_285,0,0,1,1,0,1,2,0
priority_286,0,0,1,1,0,1,2,1
not_recom_287,0,0,1,1,0,1,2,2
very_recom_288,0,0,1,1,1,0,0,0
priority_289,0,0,1,1,1,0,0,1
not_recom_290,0,0,1,1,1,0,0,2
very_recom_291,0,0,1,1,1,0,1,0
priority_292,0,0,1,1,1,0,1,1
not_recom_293,0,0,1,1,1,0,1,2
priority_294,0,0,1,1,1,0,2,0
priority_295,0,0,1,1,1,0,2,1
not_recom_296,0,0,1,1,1,0,2,2
very_recom_297,0,0,1,1,1,1,0,0
priority_298,0,0,1,1,1,1,0,1
not_recom_299,0,0,1,1,1,1,0,2
very_recom_300,0,0,1,1,1,1,1,0
priority_301,0,0,1,1,1,1,1,1
not_recom_302,0,0,1,1,1,1,1,2
priority_303,0,0,1,1,1,1,2,0
priority_304,0,0,1,1,1,1,2,1
not_recom_305,0,0,1,1,1,1,2,2
priority_306,0,0,1,1,2,0,0,0
priority_307,0,0,1,1,2,0,0,1
not_recom_308,0,0,1,1,2,0,0,2
priority_309,0,0,1,1,2,0,1,0
priority_310,0,0,1,1,2,0,1,1
not_recom_311,0,0,1,1,2,0,1,2
priority_312,0,0,1,1,2,0,2,0
priority_313,0,0,1,1,2,0,2,1
not_recom_314,0,0,1,1,2,0,2,2
priority_315,0,0,1,1,2,1,0,0
priority_316,0,0,1,1,2,1,0,1
not_recom_317,0,0,1,1,2,1,0,2
priority_318,0,0,1,1,2,1,1,0
priority_319,0,0,1,1,2,1,1,1
not_recom_320,0,0,1,1,2,1,1,2
priority_321,0,0,1,1,2,1,2,0
priority_322,0,0,1,1,2,1,2,1
not_recom_323,0,0,1,1,2,1,2,2
very_recom_324,0,0,1,2,0,0,0,0
