target,zurich_class,largest_spot,spot_distribution,activity,evolution,prev_24h_flare,historically_complex,complex_this_pass,area,area_largest_spot
0_0,0,0,0,0,0,0,0,0,0,0
0_1,1,0,0,0,1,0,0,0,0,0
0_2,0,0,0,0,1,0,0,0,0,1
0_3,1,1,0,0,1,0,0,0,0,0
0_4,1,1,0,0,0,0,0,0,0,0
0_5,1,1,0,0,0,0,0,0,0,1
0_6,1,2,0,0,1,0,0,0,0,0
0_7,0,3,0,0,1,0,0,0,0,1
0_8,2,4,0,0,1,0,0,0,0,1
0_9,1,0,0,0,0,0,0,0,0,1
0_10,0,5,1,0,1,0,0,0,0,0
0_11,1,3,0,0,1,0,0,0,0,1
0_12,2,4,0,0,0,0,0,0,0,1
0_13,1,2,1,0,1,0,0,0,0,0
0_14,1,0,0,0,0,0,0,0,0,0
0_15,1,3,0,0,0,0,0,0,0,1
0_16,0,1,1,0,0,0,0,0,0,0
0_17,0,0,0,0,0,0,0,0,0,1
0_18,3,2,1,0,1,0,1,0,0,0
0_19,4,3,2,0,0,0,0,1,0,0
0_20,2,4,1,0,1,0,0,0,0,1
0_21,0,3,1,0,1,0,0,0,0,0
0_22,2,4,0,0,1,0,0,0,0,0
0_23,1,1,1,0,1,0,1,0,0,0
0_24,1,1,1,0,1,0,0,0,0,0
0_25,1,3,0,0,1,0,0,0,0,0
0_26,0,1,1,0,1,0,0,0,0,1
1_27,1,1,1,0,0,0,1,0,0,1
0_28,1,1,1,1,0,1,0,0,0,0
0_29,1,1,1,0,0,0,1,0,0,0
0_30,1,3,0,0,2,0,0,0,0,1
0_31,1,1,1,0,0,0,0,0,0,1
0_32,1,0,0,0,2,0,0,0,0,1
0_33,1,0,1,0,1,0,0,0,0,1
0_34,1,1,1,1,1,0,1,0,0,1
0_35,1,0,0,0,1,0,1,0,0,0
0_36,1,0,0,0,1,0,0,0,0,1
0_37,1,1,0,0,1,0,1,0,0,0
1_38,1,2,3,1,1,0,1,0,0,0
0_39,1,2,3,0,0,0,0,0,0,0
0_40,1,1,1,0,0,0,0,0,0,0
0_41,1,0,0,0,0,0,1,0,0,0
1_42,1,2,3,1,1,1,1,0,0,0
0_43,5,2,1,1,1,0,1,0,0,0
1_44,1,0,1,0,1,0,1,0,0,0
0_45,0,0,0,0,0,0,1,0,0,0
1_46,4,5,2,0,0,0,1,0,0,1
0_47,4,0,2,0,0,0,0,1,0,0
0_48,1,1,0,0,0,0,1,0,0,0
0_49,1,2,3,1,0,1,1,0,0,0
0_50,1,2,1,0,1,0,1,0,0,0
0_51,1,0,1,0,0,0,1,0,0,1
0_52,0,1,0,0,0,0,1,0,0,0
0_53,1,0,0,0,2,0,1,0,0,0
0_54,4,0,2,0,1,0,1,0,0,0
0_55,4,3,2,0,0,0,0,0,0,0
0_56,4,0,2,0,1,0,0,1,0,0
0_57,0,0,0,0,2,0,1,0,0,0
0_58,0,0,0,1,0,0,1,0,0,1
0_59,0,0,0,1,1,0,1,0,0,0
0_60,0,2,0,0,0,1,1,0,0,0
0_61,0,0,0,0,2,1,1,0,0,0
0_62,0,2,1,0,1,0,1,0,0,0
0_63,5,1,3,0,1,0,1,0,0,0
0_64,4,0,2,1,0,0,0,0,0,0
0_65,0,0,1,0,0,0,1,0,0,0
0_66,4,0,2,0,2,0,1,0,0,0
0_67,1,2,3,0,1,1,1,0,0,0
0_68,1,1,1,1,0,1,1,0,0,0
0_69,4,0,2,0,0,0,0,0,0,0
0_70,0,0,1,1,1,1,0,0,0,1
0_71,0,0,0,0,2,0,0,0,0,0
0_72,4,2,2,1,0,1,1,0,0,0
0_73,4,1,2,0,1,0,0,0,0,0
0_74,0,3,0,0,2,0,0,0,0,0
0_75,0,3,0,0,1,0,0,0,0,0
0_76,4,2,2,0,1,0,1,0,0,0
0_77,0,3,1,1,1,1,0,0,0,0
0_78,4,3,2,0,0,1,0,0,0,0
0_79,4,2,2,0,0,0,1,0,0,0
0_80,1,2,1,0,0,0,1,0,0,0
0_81,4,5,2,0,1,0,0,0,0,0
1_82,1,3,0,1,0,0,0,0,0,0
0_83,4,1,2,0,1,0,1,0,0,0
0_84,0,2,0,0,0,0,1,0,0,0
0_85,0,1,0,0,1,0,1,0,0,0
0_86,0,2,1,0,0,0,1,0,0,0
0_87,2,4,0,1,0,0,0,0,0,1
0_88,0,0,0,0,1,0,0,0,0,0
0_89,0,1,1,0,1,0,0,0,0,0
0_90,0,0,0,0,0,1,1,0,0,0
2_91,4,1,2,0,1,0,0,1,0,0
1_92,2,4,0,1,2,0,0,0,0,1
0_93,0,0,0,1,0,0,1,0,0,0
0_94,4,0,2,1,0,1,0,0,0,0
0_95,5,0,1,0,1,0,0,0,0,0
0_96,4,0,2,0,2,0,0,0,0,0
0_97,0,0,1,1,0,0,0,0,0,0
0_98,0,1,0,0,1,0,0,0,0,0
0_99,2,4,0,0,0,1,1,0,0,0
1_100,2,4,1,1,1,0,0,0,0,0
0_101,1,5,0,0,0,0,0,0,0,0
0_102,4,1,2,0,0,0,0,0,0,0
0_103,0,3,1,0,0,0,0,0,0,0
0_104,0,3,0,1,2,0,0,0,0,0
0_105,1,3,0,0,0,0,0,0,0,0
0_106,2,4,1,0,1,0,0,0,0,0
0_107,2,4,0,0,0,0,0,0,0,0
0_108,0,5,1,1,1,0,0,0,0,0
2_109,1,2,0,0,1,0,1,0,0,0
0_110,0,2,1,0,1,0,0,0,0,1
0_111,0,1,0,0,0,0,0,0,0,0
0_112,2,4,1,0,0,0,1,0,0,0
0_113,0,1,1,0,1,0,1,0,0,0
1_114,0,5,1,1,0,1,0,0,0,0
1_115,3,2,1,0,0,0,1,0,0,0
0_116,0,3,0,0,0,1,0,0,0,0
0_117,5,1,0,0,0,0,0,0,0,0
0_118,2,4,0,1,1,0,0,0,0,0
0_119,1,0,1,0,0,0,1,0,0,0
0_120,1,5,1,0,1,0,0,0,0,0
0_121,3,1,1,1,1,0,1,0,0,0
1_122,5,2,0,0,1,0,0,0,0,0
0_123,4,0,2,0,1,0,0,0,0,0
0_124,1,2,3,0,1,0,1,0,0,0
0_125,2,4,0,1,0,1,0,0,0,1
0_126,0,3,0,0,2,0,1,0,0,1
0_127,1,5,1,1,1,1,1,0,0,0
0_128,5,2,1,1,0,1,1,0,0,0
0_129,5,2,1,0,1,0,0,0,0,0
0_130,4,3,2,0,1,0,0,0,0,0
1_131,0,5,1,0,0,0,1,0,0,0
0_132,3,1,1,0,1,0,1,0,0,0
0_133,4,3,2,0,0,0,0,1,0,1
0_134,0,5,0,0,0,0,1,0,0,0
0_135,3,1,1,1,1,1,1,0,0,0
0_136,5,2,3,0,1,0,1,0,0,0
2_137,1,2,3,1,1,0,1,0,1,0
0_138,0,3,0,0,0,0,1,0,0,1
0_139,5,1,1,0,1,0,0,0,0,0
0_140,4,0,2,1,1,0,1,0,0,0
0_141,5,1,1,1,0,1,1,0,0,0
1_142,5,2,1,0,0,0,1,0,0,0
0_143,1,2,3,1,1,1,1,0,1,0
0_144,0,0,1,0,0,0,1,0,0,1
0_145,5,1,1,0,1,0,1,0,0,0
0_146,3,2,1,0,1,1,1,0,1,0
1_147,1,2,3,1,0,0,1,0,1,0
0_148,4,0,2,0,0,0,1,0,0,0
0_149,3,0,0,0,0,0,1,0,0,0
2_150,5,1,1,1,0,0,1,0,0,0
1_151,1,2,3,1,0,1,1,0,1,0
0_152,5,0,0,1,0,1,1,0,0,0
0_153,5,1,0,1,1,0,1,0,0,0
0_154,0,3,0,0,0,0,1,0,0,0
0_155,5,1,0,0,1,0,0,0,0,0
0_156,5,2,3,0,1,0,0,0,1,0
