target,date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit-spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots
diaporthe-stem-canker_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_2,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_3,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_4,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_5,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_6,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_7,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_8,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaporthe-stem-canker_9,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charcoal-rot_10,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_11,1,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_12,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_13,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_14,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_15,3,0,1,1,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_16,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_17,1,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_18,2,0,1,1,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
charcoal-rot_19,3,0,1,1,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
rhizoctonia-root-rot_20,4,1,0,2,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_21,4,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_22,2,0,0,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_23,5,1,0,2,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_24,5,1,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_25,4,1,0,2,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_26,4,1,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_27,6,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_28,4,1,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rhizoctonia-root-rot_29,6,1,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_30,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_31,4,1,0,0,2,2,0,2,2,3,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_32,6,1,0,1,2,1,0,2,2,3,0,0,1,1,1,1,1,1,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_33,4,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_34,6,1,0,1,2,1,0,2,2,3,0,0,1,1,1,1,1,1,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_35,2,1,0,0,2,1,0,2,2,3,0,0,1,1,1,1,1,1,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_36,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_37,2,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_38,6,1,2,0,2,3,0,2,2,3,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_39,6,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_40,6,1,0,0,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_41,4,1,0,0,2,0,0,2,2,3,0,0,1,1,1,1,1,1,0,2,2,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_42,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_43,5,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_44,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_45,6,1,0,1,2,2,0,2,2,3,0,0,1,1,1,1,1,1,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_46,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_47,6,1,2,1,2,1,0,2,2,3,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_48,6,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_49,5,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_50,4,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_51,4,1,0,0,2,3,0,2,2,3,0,0,0,0,0,0,0,0,0,2,2,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_52,2,1,0,0,2,0,0,2,2,3,0,0,1,1,1,1,1,1,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_53,6,1,0,0,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_54,2,1,0,1,2,1,0,2,2,3,0,0,1,1,1,1,1,1,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_55,4,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_56,2,1,2,0,2,2,0,2,2,3,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_57,6,1,0,1,2,0,0,2,2,3,0,0,1,1,1,1,1,1,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_58,2,1,2,1,2,1,0,2,2,3,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_59,4,1,0,1,2,0,0,2,2,3,0,0,1,1,1,1,1,1,0,2,2,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_60,6,1,0,1,2,2,0,2,2,3,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_61,2,1,2,0,2,3,0,2,2,3,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_62,6,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_63,2,1,2,0,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_64,6,1,0,1,2,0,0,2,2,3,0,0,1,1,1,1,1,1,0,2,2,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_65,4,1,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_66,2,1,0,0,2,1,0,2,2,3,0,0,1,1,1,1,1,1,0,2,3,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_67,2,1,0,0,2,2,0,2,2,3,0,0,1,1,1,1,1,1,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
phytophthora-rot_68,2,1,2,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
phytophthora-rot_69,2,1,0,1,2,1,0,2,2,3,0,0,1,1,1,1,1,1,0,2,0,3,2,1,0,0,0,2,1,1,1,1,1,1,1
brown-stem-rot_70,1,0,1,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_71,2,1,1,2,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_72,3,0,1,1,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_73,3,0,1,1,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_74,1,0,1,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_75,3,0,1,0,1,2,2,0,0,2,0,0,2,2,2,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_76,0,0,2,0,1,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_77,3,1,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_78,3,1,1,0,0,0,2,0,1,0,0,0,2,2,2,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_79,1,0,2,2,1,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_80,1,1,1,2,0,2,3,0,1,1,0,0,2,2,2,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_81,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_82,2,1,1,2,0,1,1,1,0,1,0,0,2,2,2,0,0,0,0,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0
brown-stem-rot_83,3,0,1,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_84,1,0,1,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_85,1,0,1,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_86,1,0,1,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_87,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
brown-stem-rot_88,2,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,2,0,0,0,0,0,0
powdery-mildew_89,3,0,1,0,1,2,2,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_90,0,0,2,2,1,3,1,3,1,2,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_91,4,1,1,0,0,2,2,0,3,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_92,0,1,2,2,0,1,3,3,1,2,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_93,1,1,2,2,0,1,3,3,3,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_94,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
powdery-mildew_95,6,1,2,2,0,1,3,3,0,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
