target,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34
D1_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_2,2,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_3,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_5,1,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_6,2,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_7,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_8,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2_10,3,0,1,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_11,0,0,1,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_12,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_13,3,0,1,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_14,2,0,1,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_15,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_16,2,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_17,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_18,3,0,1,1,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D2_19,1,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
D3_20,4,1,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
D3_21,5,1,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
D3_22,5,1,0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
D3_23,4,1,0,2,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
D3_24,4,1,0,2,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
D3_25,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
D3_26,5,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
D3_27,4,1,0,2,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1
D3_28,2,0,0,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
D3_29,4,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
D4_30,5,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1
D4_31,4,1,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_32,2,1,0,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_33,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,1
D4_34,6,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_35,6,1,0,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_36,4,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_37,5,1,0,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_38,2,1,0,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_39,2,1,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_40,4,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,1
D4_41,6,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,1
D4_42,6,1,0,2,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_43,6,1,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1
D4_44,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1
D4_45,4,1,2,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1
D4_46,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1
