instance,|G|,|T|,|V|,exp_queries,std_queries,max_queries,score_rule,cpu_runtime_s,gpu_runtime_s
audiology,69,177,303,4.915,1.365,9,subtree-15 | PC,3.002,3.002
breast_cancer,9,463,659,3.922,1.314,9,subtree-15 | PC,1.001,1.001
car,6,1728,2581,6.0,0.0,6,subtree-15 | PC,2.005,2.001
chess_krk,6,28056,40910,5.812,0.397,6,subtree-15 | PC,18.014,18.012
chess_krkp,36,3196,6331,12.183,1.563,18,subtree-15 | PC,74.07,76.048
dermatology,34,366,520,2.817,0.683,4,subtree-15 | PC,1.001,1.001
house_votes_84,16,342,595,7.006,1.689,11,subtree-15 | PC,2.002,2.002
lenses,4,24,46,4.0,0.0,4,subtree-15 | PC,1.001,1.001
mastermind,1296,1296,1352,4.353,0.633,6,subtree-15 | PC,42.031,43.03
mushroom,22,8124,14919,8.096,1.071,10,subtree-15 | PC,74.059,76.056
nursery,8,12960,22666,8.0,0.0,8,subtree-15 | PC,26.02,26.019
primary_tumor,17,282,528,7.206,1.471,12,subtree-15 | PC,2.002,2.001
solar_flare,10,157,282,4.854,0.996,7,subtree-15 | PC,1.001,1.001
soybean_large,35,303,462,4.356,0.739,6,subtree-15 | PC,2.001,2.001
wordle,12972,2315,2449,3.421,0.588,5,subtree-15 | PC,390.246,35.019
wordle_hard,12972,2315,2373,3.506,0.715,7,subtree-15 | PC,21.024,20.02
zoo,16,59,106,5.119,0.976,7,subtree-15 | PC,1.001,1.001
